name,selling_price,km_driven,fuel,seller_type,transmission,owner,company,year_old_2023
Innova Crysta,1330000,91195,Diesel,Dealer,Manual,First Owner,Toyota,6
Polo 1.5,220000,63657,Diesel,Dealer,Manual,First Owner,Volkswagen,12
Verito Vibe,250000,60000,Diesel,Individual,Manual,First Owner,Mahindra,10
Innova 2.5,919999,75000,Diesel,Dealer,Manual,First Owner,Toyota,7
Vento Magnific,380000,97248,Petrol,Dealer,Manual,First Owner,Volkswagen,10
Swift VDI,450000,46000,Diesel,Individual,Manual,First Owner,Maruti,11
Verna 1.6,770000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,7
Swift Dzire,550000,80000,Diesel,Individual,Manual,First Owner,Maruti,5
New Safari,320000,100000,Diesel,Individual,Manual,Second Owner,Tata,12
SX4 Vxi,400000,35000,Petrol,Individual,Manual,First Owner,Maruti,10
Celerio VXI,450000,50000,Petrol,Individual,Automatic,First Owner,Maruti,6
SX4 ZDI,220000,90000,Diesel,Individual,Manual,Third Owner,Maruti,12
XUV500 W8,400000,150000,Diesel,Individual,Manual,Second Owner,Mahindra,11
Verna 1.6,530000,89000,Petrol,Individual,Manual,Second Owner,Hyundai,10
Swift Dzire,390000,60000,Diesel,Individual,Manual,Second Owner,Maruti,9
Grande Punto,185000,100000,Diesel,Individual,Manual,Second Owner,Fiat,11
SX4 Vxi,300000,100000,Petrol,Individual,Manual,Second Owner,Maruti,11
Swift VDI,575000,90000,Diesel,Individual,Manual,Second Owner,Maruti,9
Wagon R,300000,75000,Petrol,Individual,Manual,First Owner,Maruti,9
Etios Liva,425000,36000,Diesel,Dealer,Manual,First Owner,Toyota,6
Xcent 1.2,350000,12000,Petrol,Individual,Manual,First Owner,Hyundai,7
Amaze VX,550000,12997,Diesel,Dealer,Manual,First Owner,Honda,6
Ciaz 1.4,500000,40000,Petrol,Individual,Automatic,First Owner,Maruti,6
Scorpio S4,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra,8
Quanto C8,300000,25000,Diesel,Individual,Manual,Second Owner,Mahindra,10
Verna CRDi,1150000,26430,Diesel,Dealer,Manual,First Owner,Hyundai,5
Swift 1.3,475000,24600,Petrol,Dealer,Manual,First Owner,Maruti,8
Wagon R,260000,28481,Petrol,Dealer,Manual,First Owner,Maruti,12
Ecosport 1.0,350000,100000,Petrol,Individual,Manual,First Owner,Ford,10
XUV500 W8,750000,41988,Diesel,Dealer,Manual,First Owner,Mahindra,10
Wagon R,180000,30375,Petrol,Dealer,Manual,First Owner,Maruti,14
KWID Climber,350000,7658,Petrol,Dealer,Automatic,First Owner,Renault,6
Swift Dzire,611000,34400,Diesel,Dealer,Manual,First Owner,Maruti,6
KWID RXL,325000,18500,Petrol,Dealer,Manual,First Owner,Renault,6
EON 1.0,225000,48000,Petrol,Dealer,Manual,First Owner,Hyundai,11
Wagon R,300000,28942,Petrol,Dealer,Automatic,First Owner,Maruti,9
Bolero Power,400000,50000,Diesel,Individual,Manual,Second Owner,Mahindra,6
XUV500 W8,711000,53600,Diesel,Dealer,Manual,First Owner,Mahindra,11
Innova 2.5,851000,53652,Diesel,Dealer,Manual,First Owner,Toyota,8
Ertiga VXI,500000,25000,Petrol,Individual,Manual,First Owner,Maruti,9
Innova 2.5,250000,80000,Diesel,Individual,Manual,Second Owner,Toyota,16
Alto 800,150000,50000,Petrol,Individual,Manual,First Owner,Maruti,6
Scorpio 1.99,610000,15000,Diesel,Individual,Manual,Second Owner,Mahindra,7
KUV 100,450000,5000,Petrol,Individual,Manual,First Owner,Mahindra,5
i20 1.4,744000,106000,Diesel,Individual,Manual,First Owner,Hyundai,6
Spark 1.0,120000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet,15
KWID RXL,220000,60000,Petrol,Individual,Manual,Third Owner,Renault,7
Ertiga ZDI,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,11
Celerio ZXI,370000,82000,Petrol,Individual,Automatic,First Owner,Maruti,6
Palio D,55000,35000,Diesel,Individual,Manual,Second Owner,Fiat,20
EON Magna,125000,205000,Petrol,Individual,Manual,First Owner,Hyundai,10
Verna 1.6,260000,125000,Diesel,Individual,Manual,Third Owner,Hyundai,12
Linea Classic,350000,130000,Diesel,Individual,Manual,First Owner,Fiat,8
Alto 800,170000,97000,CNG,Individual,Manual,Second Owner,Maruti,11
Grand i10,350000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,8
Swift Dzire,250000,60000,Petrol,Individual,Manual,Third Owner,Maruti,14
Indigo CR4,170000,60000,Diesel,Individual,Manual,First Owner,Tata,10
Scorpio S11,1300000,35000,Diesel,Individual,Manual,First Owner,Mahindra,5
Grand i10,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,4
Brio 1.2,400000,15000,Petrol,Individual,Manual,First Owner,Honda,6
Nano Lx,120000,20000,Petrol,Individual,Manual,First Owner,Tata,12
Figo Petrol,275000,70000,Petrol,Individual,Manual,First Owner,Ford,13
Zest Revotron,285000,90000,Petrol,Individual,Manual,First Owner,Tata,7
Creta 1.4,900000,80000,Diesel,Individual,Manual,First Owner,Hyundai,7
M-Class ML,2500000,79500,Diesel,Individual,Automatic,Second Owner,Mercedes-Benz,9
Verna 1.6,620000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,10
Innova Crysta,1700000,5000,Diesel,Individual,Manual,First Owner,Toyota,5
Figo Aspire,650000,15000,Petrol,Individual,Manual,First Owner,Ford,5
Ertiga VXI,500000,35000,Petrol,Individual,Manual,First Owner,Maruti,9
New Safari,250000,120000,Diesel,Individual,Manual,Second Owner,Tata,14
Marazzo M4,950000,15000,Diesel,Individual,Manual,Second Owner,Mahindra,5
Etios Cross,320000,60000,Petrol,Individual,Manual,First Owner,Toyota,8
Duster 110PS,450000,120000,Diesel,Individual,Manual,First Owner,Renault,10
KUV 100,350000,90000,Diesel,Individual,Manual,First Owner,Mahindra,7
Swift Dzire,400000,90000,Petrol,Individual,Manual,First Owner,Maruti,8
i20 Asta,250000,72000,Diesel,Individual,Manual,Second Owner,Hyundai,14
Innova 2.0,550000,197000,Petrol,Individual,Manual,Second Owner,Toyota,12
Zen LXI,85000,70000,Petrol,Individual,Manual,Second Owner,Maruti,24
Santro LP,52000,50000,Petrol,Individual,Manual,Third Owner,Hyundai,22
Hexa XTA,1200000,50000,Diesel,Individual,Automatic,First Owner,Tata,6
Verna 1.6,450000,60000,Petrol,Individual,Automatic,Third Owner,Hyundai,12
Swift Dzire,615000,40000,Petrol,Individual,Manual,First Owner,Maruti,5
SX4 ZDI,400000,60000,Diesel,Individual,Manual,Second Owner,Maruti,11
Nano LX,60000,40000,Petrol,Individual,Manual,First Owner,Tata,10
Ignis 1.2,500000,9161,Petrol,Individual,Manual,First Owner,Maruti,6
Mobilio V,600000,45000,Petrol,Individual,Manual,First Owner,Honda,8
Getz 1.3,110000,110000,Petrol,Individual,Manual,First Owner,Hyundai,13
Santro Xing,175000,80000,Petrol,Individual,Manual,First Owner,Hyundai,10
Fiesta Titanium,325000,100000,Diesel,Individual,Manual,Second Owner,Ford,12
Swift Dzire,425000,90000,Diesel,Individual,Manual,First Owner,Maruti,6
Accent GLE,160000,70000,CNG,Individual,Manual,Third Owner,Hyundai,14
Zen Estilo,100000,80000,Petrol,Individual,Manual,Third Owner,Maruti,16
Swift Dzire,390000,110000,Diesel,Individual,Manual,Second Owner,Maruti,9
i20 1.2,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai,6
Tigor 1.2,509999,5000,Petrol,Individual,Manual,First Owner,Tata,5
i10 Magna,150000,90000,Petrol,Individual,Manual,Third Owner,Hyundai,15
Santro Xing,110000,120000,Petrol,Individual,Manual,First Owner,Hyundai,14
Sunny Diesel,450000,80000,Diesel,Individual,Manual,First Owner,Nissan,10
i20 1.2,400000,38000,Petrol,Individual,Manual,Second Owner,Hyundai,6
Santro Xing,140000,120000,Petrol,Individual,Manual,First Owner,Hyundai,14
Indigo CR4,130000,90000,Diesel,Individual,Manual,First Owner,Tata,12
Alto 800,160000,50000,Petrol,Individual,Manual,First Owner,Maruti,6
Alto 800,150000,60000,Petrol,Individual,Manual,First Owner,Maruti,7
XUV500 W8,500000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,10
Nano Std,40000,19000,Petrol,Individual,Manual,First Owner,Tata,12
Tavera LT,140000,200000,Diesel,Individual,Manual,Third Owner,Chevrolet,17
Verito 1.5,227000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,8
Swift VDI,285000,50000,Diesel,Individual,Manual,Second Owner,Maruti,12
Alto LX,155000,19077,Petrol,Individual,Manual,Second Owner,Maruti,11
EON D,210000,30000,Petrol,Individual,Manual,First Owner,Hyundai,7
Alto LXi,140000,80000,Petrol,Individual,Manual,Second Owner,Maruti,14
Innova 2.5,940000,128000,Diesel,Individual,Manual,First Owner,Toyota,8
Terrano XV,750000,80000,Diesel,Individual,Manual,First Owner,Nissan,10
Baleno Alpha,610000,100000,Diesel,Individual,Manual,First Owner,Maruti,7
Sunny XV,450000,50000,Diesel,Individual,Manual,First Owner,Nissan,8
Etios Liva,409999,56000,Diesel,Individual,Manual,First Owner,Toyota,11
EON 1.0,100000,21302,Petrol,Individual,Manual,First Owner,Hyundai,5
KWID 1.0,300000,10500,Petrol,Individual,Manual,First Owner,Renault,5
Bolero 2011-2019,400000,107000,Diesel,Individual,Manual,First Owner,Mahindra,10
i10 Sportz,210000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,13
Santro Xing,90000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,17
Wagon R,222000,70000,Petrol,Individual,Manual,First Owner,Maruti,13
Alto 800,240000,50000,Petrol,Individual,Manual,Second Owner,Maruti,8
Etios Liva,450000,70000,Diesel,Individual,Manual,Second Owner,Toyota,10
Jetta 2.0L,735000,55300,Diesel,Dealer,Automatic,First Owner,Volkswagen,11
Indica Vista,285000,74300,Diesel,Dealer,Manual,First Owner,Tata,11
City VX,350000,48781,Petrol,Dealer,Manual,First Owner,Honda,13
Jetta 1.9,290000,87620,Diesel,Dealer,Automatic,First Owner,Volkswagen,13
Vento 1.5,890000,40219,Diesel,Dealer,Automatic,First Owner,Volkswagen,6
Jazz VX,385000,11473,Petrol,Dealer,Manual,First Owner,Honda,12
Eeco 5,425000,8352,Petrol,Dealer,Manual,First Owner,Maruti,6
Wagon R,525000,9745,Petrol,Dealer,Automatic,First Owner,Maruti,6
Grand i10,550000,9748,Petrol,Dealer,Manual,First Owner,Hyundai,6
Polo 1.0,271000,49000,Petrol,Dealer,Manual,First Owner,Volkswagen,11
Creta 1.6,1490000,20694,Diesel,Dealer,Manual,First Owner,Hyundai,5
Grand i10,490000,31080,Petrol,Dealer,Manual,First Owner,Hyundai,8
EON Era,260000,37605,Petrol,Dealer,Manual,First Owner,Hyundai,9
Xcent 1.1,455000,55850,Diesel,Dealer,Manual,First Owner,Hyundai,9
Nano Lx,75000,58850,Petrol,Dealer,Manual,First Owner,Tata,13
Etios Cross,421000,23839,Petrol,Dealer,Manual,First Owner,Toyota,8
Swift DDiS,550000,54000,Diesel,Dealer,Manual,First Owner,Maruti,7
i10 Sportz,330000,38000,Petrol,Dealer,Automatic,First Owner,Hyundai,10
Vento 1.5,390000,45454,Diesel,Dealer,Manual,First Owner,Volkswagen,11
Rapid 1.5,599000,46957,Diesel,Dealer,Automatic,First Owner,Skoda,8
Getz GLE,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,16
KWID RXT,250000,25000,Petrol,Individual,Manual,First Owner,Renault,7
Scorpio M2DI,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,11
Endeavour XLT,280000,190000,Diesel,Individual,Manual,Second Owner,Ford,15
Q3 35,2700000,25000,Diesel,Individual,Automatic,First Owner,Audi,5
Renault Logan,80000,90000,Petrol,Individual,Manual,First Owner,Mahindra,15
Alto K10,350000,5000,Petrol,Individual,Manual,First Owner,Maruti,4
Swift VDI,475000,60000,Diesel,Individual,Manual,First Owner,Maruti,8
A5 Sportback,4700000,1500,Diesel,Individual,Automatic,First Owner,Audi,3
Swift Dzire,500000,50000,Diesel,Individual,Manual,First Owner,Maruti,5
Sail Hatchback,250000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,9
Accent CRDi,100000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,18
Alto K10,350000,5000,Petrol,Individual,Manual,First Owner,Maruti,4
7 Series,4000000,47000,Diesel,Individual,Automatic,First Owner,BMW,9
Camry 2.5,1900000,20000,Petrol,Individual,Automatic,First Owner,Toyota,6
Santro Xing,95000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,18
Grand i10,409999,58000,Diesel,Individual,Manual,First Owner,Hyundai,8
XUV500 W5,1050000,35000,Diesel,Individual,Manual,First Owner,Mahindra,5
Alto K10,320000,30000,Petrol,Individual,Manual,First Owner,Maruti,6
XUV300 W8,1000000,10000,Diesel,Individual,Manual,First Owner,Mahindra,4
Innova Crysta,1770000,25000,Diesel,Individual,Manual,First Owner,Toyota,6
Thar CRDe,950000,20000,Diesel,Individual,Manual,First Owner,Mahindra,5
Swift Dzire,750000,50000,Diesel,Individual,Manual,First Owner,Maruti,5
EON Magna,220000,42000,Petrol,Individual,Manual,First Owner,Hyundai,9
Hexa XM,1000000,50000,Diesel,Individual,Manual,First Owner,Tata,6
Mobilio E,660000,116000,Diesel,Individual,Manual,First Owner,Honda,6
Ertiga ZDI,716000,100000,Diesel,Individual,Manual,First Owner,Maruti,8
Ciaz ZXi,675000,66000,Petrol,Individual,Manual,First Owner,Maruti,8
Scorpio LX,385000,110000,Diesel,Individual,Manual,Third Owner,Mahindra,13
Grande Punto,325000,70000,Diesel,Individual,Manual,First Owner,Fiat,9
Creta 1.6,950000,60000,Diesel,Individual,Manual,First Owner,Hyundai,8
Endeavour Hurricane,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,Ford,16
Indica Vista,250000,25000,Diesel,Individual,Manual,First Owner,Tata,9
Rover Discovery,4000000,68000,Petrol,Individual,Automatic,First Owner,Land-Rover,5
Alto 800,210000,20000,Petrol,Individual,Manual,First Owner,Maruti,9
i10 Era,147000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,12
Vitara Brezza,725000,26350,Diesel,Individual,Manual,First Owner,Maruti,5
Scorpio SLE,550000,90000,Diesel,Individual,Manual,First Owner,Mahindra,11
i20 Sportz,475000,25000,Petrol,Individual,Manual,First Owner,Hyundai,7
Santro Xing,250000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,9
Indica LSI,70000,60000,Petrol,Individual,Manual,Second Owner,Tata,17
EON Era,160000,70000,Petrol,Individual,Manual,Third Owner,Hyundai,11
Endeavour 3.0L,1000000,90000,Diesel,Individual,Automatic,Second Owner,Ford,12
Santro LE,68000,70000,Petrol,Individual,Manual,First Owner,Hyundai,22
Grand i10,500000,26500,Petrol,Individual,Manual,First Owner,Hyundai,6
Creta 1.4,1050000,10000,Diesel,Individual,Manual,First Owner,Hyundai,3
Verna CRDi,900000,50000,Diesel,Individual,Manual,First Owner,Hyundai,6
Alto LX,100000,52000,Petrol,Individual,Manual,Second Owner,Maruti,16
i20 Asta,300000,90000,Diesel,Individual,Manual,First Owner,Hyundai,10
Indigo LX,140000,60000,Diesel,Individual,Manual,Second Owner,Tata,12
Figo Aspire,550000,35000,Petrol,Individual,Manual,First Owner,Ford,5
XUV500 W8,650000,71042,Diesel,Dealer,Manual,First Owner,Mahindra,11
Pajero Sport,1025000,167870,Diesel,Dealer,Manual,Second Owner,Mitsubishi,11
Fiesta 1.5,195000,133564,Diesel,Dealer,Manual,First Owner,Ford,12
3 Series,1490000,40000,Diesel,Dealer,Automatic,First Owner,BMW,10
City i-VTEC,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner,Honda,5
Beat Diesel,95000,70000,Diesel,Individual,Manual,First Owner,Chevrolet,12
3 Series,3050000,30000,Diesel,Individual,Automatic,First Owner,BMW,6
Baleno Delta,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,6
Baleno Alpha,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner,Maruti,5
i20 1.4,280000,52000,Diesel,Dealer,Manual,First Owner,Hyundai,10
Baleno Zeta,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,7
Verito 1.5,300000,90000,Diesel,Individual,Manual,First Owner,Mahindra,8
Xcent 1.2,375000,70000,Petrol,Individual,Manual,First Owner,Hyundai,8
City VTEC,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Honda,20
Swift Dzire,375000,190000,Diesel,Individual,Manual,Third Owner,Maruti,12
Endeavour 3.2,1950000,106000,Diesel,Individual,Automatic,First Owner,Ford,7
Xenon XT,400000,80000,Diesel,Individual,Manual,Second Owner,Tata,11
Terrano XL,550000,80000,Diesel,Individual,Manual,Second Owner,Nissan,9
Eeco 7,270000,20000,Petrol,Individual,Manual,First Owner,Maruti,5
Ertiga ZDI,555000,110000,Diesel,Individual,Manual,Second Owner,Maruti,11
Ecosport 1.5,500000,60000,Diesel,Individual,Manual,Second Owner,Ford,10
Laura Elegance,400000,130000,Diesel,Individual,Automatic,Second Owner,Skoda,13
EON 1.0,280000,28838,Petrol,Individual,Manual,First Owner,Hyundai,6
Indica GLS,80000,200000,Petrol,Individual,Manual,First Owner,Tata,15
Indica DLS,55000,100000,Diesel,Individual,Manual,First Owner,Tata,17
Alto 800,250000,50000,Petrol,Individual,Manual,First Owner,Maruti,9
Bolero SLX,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,13
Jeep MM,95000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,16
Scorpio 1.99,725000,135000,Diesel,Individual,Manual,Second Owner,Mahindra,9
Bolero Power,320000,50000,Diesel,Individual,Manual,Third Owner,Mahindra,8
Octavia Elegance,1200000,135000,Diesel,Individual,Automatic,Third Owner,Skoda,9
Beat Diesel,160000,50000,Diesel,Individual,Manual,First Owner,Chevrolet,11
Jazz 1.5,790000,19571,Diesel,Dealer,Manual,First Owner,Honda,5
City i-VTEC,1200000,29600,Petrol,Dealer,Manual,First Owner,Honda,5
Swift LXI,175000,70000,Petrol,Individual,Manual,First Owner,Maruti,12
Vitara Brezza,950000,15000,Diesel,Individual,Automatic,First Owner,Maruti,5
Celerio LXI,340000,50000,Petrol,Individual,Manual,First Owner,Maruti,4
Captur 1.5,825000,13500,Diesel,Individual,Manual,First Owner,Renault,6
A4 30,3100000,22000,Petrol,Individual,Automatic,First Owner,Audi,5
Amaze VX,780000,25000,Diesel,Dealer,Manual,First Owner,Honda,5
Corolla Altis,350000,80000,Petrol,Individual,Automatic,Third Owner,Toyota,13
Amaze VX,690000,39000,Petrol,Dealer,Manual,First Owner,Honda,5
Alto 800,245000,60000,Petrol,Individual,Manual,First Owner,Maruti,7
Amaze VX,790000,49000,Diesel,Dealer,Manual,First Owner,Honda,5
Amaze VX,680000,48600,Petrol,Dealer,Manual,First Owner,Honda,5
Grand i10,540000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,6
KUV 100,425000,25000,Petrol,Individual,Manual,First Owner,Mahindra,7
Zen Estilo,140000,120000,Petrol,Individual,Manual,First Owner,Maruti,15
Ertiga ZDI,1100000,30000,Diesel,Individual,Manual,First Owner,Maruti,4
Lodgy 85PS,715000,35000,Diesel,Individual,Manual,First Owner,Renault,8
Q3 2.0,1750000,127643,Diesel,Dealer,Automatic,First Owner,Audi,8
Zest Revotron,400000,54000,Petrol,Dealer,Manual,Second Owner,Tata,5
A6 2.0,1750000,102354,Diesel,Dealer,Automatic,First Owner,Audi,9
Q5 2.0,1850000,62237,Petrol,Dealer,Automatic,First Owner,Audi,9
Santro Xing,114999,90000,Petrol,Dealer,Manual,Second Owner,Hyundai,18
EcoSport 1.5,950000,21394,Diesel,Dealer,Manual,First Owner,Ford,5
GO T,310000,32686,Petrol,Dealer,Manual,First Owner,Datsun,8
Jeep CJ,575000,1001,Diesel,Dealer,Manual,First Owner,Mahindra,17
Pulse RxZ,490000,22000,Diesel,Dealer,Manual,First Owner,Renault,6
Grand i10,480000,53261,Petrol,Dealer,Manual,First Owner,Hyundai,6
Rover Discovery,3500000,53000,Diesel,Dealer,Automatic,First Owner,Land-Rover,7
KWID 1.0,370000,10000,Petrol,Dealer,Manual,First Owner,Renault,5
Baleno Alpha,835000,14000,Diesel,Dealer,Manual,First Owner,Maruti,6
Polo 2015-2019,650000,44000,Petrol,Dealer,Manual,First Owner,Volkswagen,6
Etios VD,670000,39895,Diesel,Dealer,Manual,First Owner,Toyota,9
Cruze LTZ,950000,73000,Diesel,Dealer,Automatic,First Owner,Chevrolet,6
City i-VTEC,690000,17000,Petrol,Dealer,Manual,First Owner,Honda,9
Polo 2015-2019,670000,18591,Petrol,Dealer,Manual,First Owner,Volkswagen,6
Nexon 1.5,925000,26766,Diesel,Dealer,Manual,First Owner,Tata,6
EON Magna,250000,30000,Petrol,Individual,Manual,First Owner,Hyundai,8
Sumo Gold,509999,42000,Diesel,Individual,Manual,First Owner,Tata,7
City i,520000,110000,Diesel,Individual,Manual,First Owner,Honda,9
Indica DLE,100000,100000,Diesel,Individual,Manual,First Owner,Tata,18
Indica DLS,85000,300000,Diesel,Individual,Manual,Second Owner,Tata,17
Indigo LX,130000,110000,Diesel,Individual,Manual,Third Owner,Tata,14
EcoSport 1.5,950000,27620,Diesel,Dealer,Manual,First Owner,Ford,5
Figo Aspire,450000,70000,Petrol,Individual,Manual,First Owner,Ford,8
City S,320000,50000,Petrol,Individual,Manual,Second Owner,Honda,11
Swift Dzire,480000,50000,Diesel,Individual,Manual,First Owner,Maruti,8
New C-Class,2490000,46000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,9
Innova 2.5,790000,82000,Diesel,Individual,Manual,First Owner,Toyota,11
Omni MPI,120000,120000,Petrol,Individual,Manual,First Owner,Maruti,7
Alto LXi,75000,80000,Petrol,Individual,Manual,Third Owner,Maruti,17
Indica GLS,99000,70000,Petrol,Individual,Manual,First Owner,Tata,13
S-Cross Zeta,1015000,20000,Diesel,Individual,Manual,First Owner,Maruti,5
Xylo D4,250000,200000,Diesel,Individual,Manual,Second Owner,Mahindra,10
Innova Crysta,520000,120000,Diesel,Individual,Manual,First Owner,Toyota,12
Verna CRDi,1100000,30000,Diesel,Individual,Automatic,First Owner,Hyundai,5
Innova 2.5,200000,223000,Diesel,Individual,Manual,First Owner,Toyota,18
Swift Dzire,525000,60000,Diesel,Individual,Manual,First Owner,Maruti,7
i20 Asta,500000,40000,Petrol,Individual,Manual,First Owner,Hyundai,7
Scorpio S2,675000,161327,Diesel,Individual,Manual,First Owner,Mahindra,7
i10 Magna,150000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,14
Bolero DI,250000,50000,Diesel,Individual,Manual,First Owner,Mahindra,16
Grand i10,450000,6000,Petrol,Individual,Manual,First Owner,Hyundai,5
Santro Xing,150000,68000,Petrol,Individual,Manual,Second Owner,Hyundai,14
Beat Diesel,200000,85000,Diesel,Individual,Manual,First Owner,Chevrolet,11
Scorpio VLS,525000,70000,Diesel,Individual,Automatic,First Owner,Mahindra,12
Esteem VX,60000,35000,Petrol,Individual,Manual,Second Owner,Maruti,24
Swift Vdi,180000,100000,Diesel,Individual,Manual,Second Owner,Maruti,13
Amaze S,475000,110000,Diesel,Individual,Manual,First Owner,Honda,8
Scorpio VLS,380000,195000,Diesel,Individual,Automatic,Second Owner,Mahindra,13
Alto 800,285000,46000,Petrol,Individual,Manual,Second Owner,Maruti,8
Alto LXi,91200,60000,Petrol,Individual,Manual,Second Owner,Maruti,15
Grand i10,400000,42000,Diesel,Individual,Manual,First Owner,Hyundai,8
Santro Xing,160000,90000,Petrol,Individual,Automatic,Second Owner,Hyundai,17
Yeti Ambition,650000,85000,Diesel,Individual,Manual,Second Owner,Skoda,11
Verna 1.6,409999,120000,Diesel,Individual,Manual,Third Owner,Hyundai,11
Ecosport 1.5,425000,72000,Diesel,Individual,Manual,First Owner,Ford,10
Wagon R,250000,71000,CNG,Individual,Manual,Second Owner,Maruti,10
Swift Dzire,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,14
Polo Diesel,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,Volkswagen,13
Eeco 5,260000,30000,Petrol,Dealer,Manual,First Owner,Maruti,6
Verna SX,155000,65000,Petrol,Dealer,Manual,First Owner,Hyundai,16
Jazz 1.5,450000,38000,Diesel,Individual,Manual,First Owner,Honda,8
SX4 Celebration,220000,90000,Petrol,Individual,Manual,Second Owner,Maruti,11
i20 Active,650000,37000,Diesel,Dealer,Manual,First Owner,Hyundai,5
Alto 800,285000,30000,Petrol,Dealer,Manual,First Owner,Maruti,5
Amaze V,725000,26000,Petrol,Dealer,Automatic,First Owner,Honda,5
Ciaz ZXi,625000,30000,Petrol,Dealer,Manual,First Owner,Maruti,7
i20 Active,550000,23000,Petrol,Dealer,Manual,First Owner,Hyundai,7
i10 Magna,240000,40000,Petrol,Dealer,Manual,First Owner,Hyundai,11
Terrano XL,600000,27000,Diesel,Dealer,Manual,First Owner,Nissan,9
New Safari,350000,65000,Diesel,Dealer,Manual,First Owner,Tata,11
EON Magna,245000,32000,Petrol,Dealer,Manual,First Owner,Hyundai,8
Bolero B6,600000,56000,Diesel,Dealer,Manual,First Owner,Mahindra,7
X1 sDrive,2400000,30000,Diesel,Individual,Automatic,First Owner,BMW,6
Scorpio SLE,620000,80000,Diesel,Dealer,Manual,First Owner,Mahindra,9
Swift Dzire,395000,52000,Petrol,Dealer,Manual,Second Owner,Maruti,9
Ertiga ZXI,635000,13250,Petrol,Dealer,Manual,First Owner,Maruti,9
Alto LX,180000,36000,Petrol,Dealer,Manual,First Owner,Maruti,12
Swift ZDI,484999,73000,Diesel,Dealer,Manual,Second Owner,Maruti,8
Alto LX,110000,60000,Petrol,Individual,Manual,First Owner,Maruti,19
Wagon R,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,17
Tavera Neo,400000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,11
Indica Vista,200000,70000,Diesel,Individual,Manual,Second Owner,Tata,11
Duster 85PS,302000,60000,Diesel,Individual,Manual,Second Owner,Renault,10
Swift Dzire,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,12
Wagon R,155000,80000,Petrol,Individual,Manual,Second Owner,Maruti,19
Innova 2.5,1000000,101000,Diesel,Individual,Manual,Second Owner,Toyota,9
Bolero Power,550000,44000,Diesel,Individual,Manual,First Owner,Mahindra,5
Swift 1.3,200000,45000,Petrol,Individual,Manual,First Owner,Maruti,17
Scorpio S2,750000,120000,Diesel,Individual,Manual,First Owner,Mahindra,6
Zen LXI,90000,90000,Petrol,Individual,Manual,Second Owner,Maruti,18
Wagon R,80000,120000,Petrol,Individual,Manual,Second Owner,Maruti,16
EON D,229999,13500,Petrol,Individual,Manual,First Owner,Hyundai,10
KWID 1.0,350000,10000,Petrol,Individual,Manual,First Owner,Renault,6
Grand i10,325000,25000,Petrol,Individual,Manual,Third Owner,Hyundai,8
Tigor 1.2,450000,8500,Petrol,Individual,Manual,First Owner,Tata,5
SX4 Celebration,250000,120000,Diesel,Individual,Manual,First Owner,Maruti,11
Polo Diesel,225000,120000,Diesel,Individual,Manual,First Owner,Volkswagen,11
Alto LXi,150000,90246,Petrol,Individual,Manual,Third Owner,Maruti,14
Alto LX,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti,15
Alto LXi,150000,40000,Petrol,Individual,Manual,Second Owner,Maruti,13
Gypsy King,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,23
Duster 85PS,610000,32000,Diesel,Individual,Manual,Second Owner,Renault,6
